Generation, White population, Black population, Globale Temperature
0,168,168,0.0
1,440,401,24.18069709956734
2,435,397,40.7195246055013
3,432,391,48.74762356473959
4,425,383,52.60781333075996
5,416,373,54.369785478458304
6,409,365,55.062608362960916
7,404,357,55.26397740807994
8,400,350,55.24579974344434
9,394,343,55.13327126384653
10,388,336,54.959092380589595
11,377,327,54.75206186307507
12,369,319,54.46118920078497
13,360,314,54.167944066442544
14,354,311,53.89509092126507
15,347,304,53.675663045659505
16,340,301,53.44096110714071
17,330,294,53.23142877304979
18,326,291,52.97219691388245
19,323,283,52.78203882581441
20,311,283,52.58763655478939
21,309,283,52.3798799282638
22,309,279,52.25482577873284
23,303,278,52.151477769235605
24,299,272,52.02190260987906
25,292,262,51.859161340626805
26,11,24,51.62184351274121
27,11,28,46.66527559426089
28,8,35,44.27100977158719
29,8,37,43.13021977782085
30,14,37,42.58501273781349
31,16,47,42.36720139649147
32,16,52,42.35837402690187
33,18,63,42.392520728836246
34,18,73,42.517376922709076
35,20,75,42.659845047710135
36,19,75,42.75943759972313
37,19,75,42.795671357255166
38,19,79,42.812455671909326
39,21,81,42.854976752655155
40,23,81,42.90920761519323
41,25,78,42.951504813414545
42,25,78,42.96329187156316
43,25,78,42.96908629178467
44,25,82,42.971898945564696
45,25,78,43.00788365288677
46,22,77,42.98977159000656
47,20,76,42.94694274956733
48,18,70,42.90046166979376
49,18,72,42.810789444622486
50,18,77,42.787325129922294
51,18,83,42.820694102218525
52,22,84,42.88817278393265
53,24,82,42.96352063095516
54,24,85,42.99674492400392
55,18,89,43.03870538170405
56,16,82,43.04092741574032
57,16,77,42.9681279744669
58,14,66,42.8920641814931
59,14,56,42.745795960757576
60,12,54,42.59244078066758
61,12,58,42.48733341389767
62,16,67,42.47338826414123
63,36,65,42.5782376383362
64,34,67,42.781404315151185
65,33,67,42.87434240907109
66,31,67,42.90748233914231
67,31,69,42.90530690137021
68,31,73,42.91870309821853
69,31,69,42.95857551278988
70,31,75,42.94194436868452
71,31,77,42.98325388089402
72,31,75,43.01827886606972
73,31,73,43.01659700738264
74,33,73,42.99841363131457
75,33,69,43.0073486146029
76,33,62,42.97675162504347
77,29,57,42.9030315614347
78,27,61,42.790629528421626
79,30,58,42.756110102745126
80,30,74,42.7399346603052
81,30,79,42.870811246028886
82,30,83,42.97301616803727
83,30,89,43.05447437758198
84,30,89,43.143991060688975
85,30,89,43.18528629115819
86,30,87,43.20451794950636
87,26,78,43.196231962595604
88,6,84,43.080928820196334
89,6,84,42.90742247687171
90,5,86,42.82796356836627
91,5,88,42.8007721485076
92,5,95,42.805558508567515
93,28,111,42.87030290210779
94,30,111,43.2371835585321
95,30,109,43.422574203051205
96,30,107,43.493980724860705
97,30,107,43.51126272511565
98,30,105,43.52010374163067
99,32,103,43.507260376485696
